date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:07:51	10518/10518	---M-Z	200	added ('OK')	text/html	etag:W/%2287476fa7e1b00d2318f0f908c65c7390%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/index.html	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/index.html	(from )
03:07:52	463/463	---M-Z	200	added ('OK')	text/plain	date:Tue,%2006%20Aug%202024%2007:07:53%20GMT	https://docs.nvidia.com/robots.txt		(from )
03:07:53	11400/11400	---M-Z	200	added ('OK')	text/css	etag:W/%22c604bf261081321a932379da88b6efee%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/common/formatting/site.css	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/common/formatting/site.css	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/index.html)
03:07:57	432573/432573	---MCZ	200	added ('OK')	application/x-javascript	etag:%22f029ae87fecd30afadd875585aeda530:1721715446.079423%22	http://assets.adobedtm.com/5d4962a43b79/c1061d2c5e7b/launch-191c2462b890.min.js	D:/Deepstream/Cudnn/assets.adobedtm.com/5d4962a43b79/c1061d2c5e7b/launch-191c2462b890.min.js	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/index.html)
03:07:57	92633/92633	---M-Z	200	added ('OK')	application/javascript	etag:W/%22383771ef1692bfcc3f2b6917ca985778%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/common/formatting/jquery.min.js	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/common/formatting/jquery.min.js	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/index.html)
03:07:58	1604/1604	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213e1f1bb6143b3564f23563727f8516e%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/common/formatting/jquery.ba-hashchange.min.js	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/common/formatting/jquery.ba-hashchange.min.js	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/index.html)
03:07:58	307/307	---M-Z	200	added ('OK')	application/javascript	etag:%22835a860106fc3c05201ae8e73d578647%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/search/htmlFileList.js	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/search/htmlFileList.js	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/index.html)
03:07:59	1585/1585	---M-Z	200	added ('OK')	application/javascript	etag:W/%22bf0ea7f9b2f75c8a8eec9eadc5548063%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/search/htmlFileInfoList.js	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/search/htmlFileInfoList.js	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/index.html)
03:08:00	11994/11994	---M-Z	200	added ('OK')	application/javascript	etag:W/%2291654e4751de32c29ae15ecbb2a15703%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/search/nwSearchFnt.min.js	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/search/nwSearchFnt.min.js	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/index.html)
03:08:01	3531/3531	---M-Z	200	added ('OK')	application/javascript	etag:W/%22aabd6d7fe8053b37fa69821e62e1213b%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/search/stemmers/en_stemmer.min.js	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/search/stemmers/en_stemmer.min.js	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/index.html)
